,reviews_scores_accuracy,allows_children,allows_infants,allows_pets,reviews_scores_avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,reviews_scores_checkin,city,cleaning_fee,reviews_scores_cleanliness,reviews_scores_communication,host_verified,id,is_business_travel_ready,is_new_listing,is_super_host,listing_url,reviews_scores_location,max_nights,min_nights,monthly_price_factor,person_capacity,picture_count,price_string,property_type_id,response_rate,response_time,review_count,reviews_scores_rating,reviews_count,room_type,reviews_scores_star,reviews_scores_value,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,member_since,paikkakunnat
0,nan,1.0,1.0,0.0,4.5-5.0/5.0,0.5,0.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,nan,Helsinki,0,nan,nan,0,22858494,0,0,0,https://www.airbnb.com/api/v2/pdp_listing_details/22858494?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,nan,1125,1,0.0,2,17,38,1.0,100%,within an hour,,nan,365,Entire home/apt,3.6-4.4/5.0,nan,,0.9,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2018-01-01,Kamppi
1,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,3.0,0,CANCEL_MODERATE,nan,Helsinki,0,nan,nan,0,16501244,0,0,1,https://www.airbnb.com/api/v2/pdp_listing_details/16501244?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,nan,60,1,0.8,7,22,58,37.0,100%,within an hour,,nan,327,Entire home/apt,4.5-5.0/5.0,nan,,0.88,8,217,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2013-07-01,Kamppi
2,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,nan,Helsinki,0,nan,nan,0,28982354,0,0,1,https://www.airbnb.com/api/v2/pdp_listing_details/28982354?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,nan,6,1,0.0,3,3,26,1.0,50-89%,within an hour,,nan,115,Shared room,4.5-5.0/5.0,nan,,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2018-10-01,Ullanlinna
3,nan,1.0,1.0,0.0,nan,4.0,1.0,1.0,1,CANCEL_FLEXIBLE,nan,Helsinki,0,nan,nan,0,41969547,0,1,0,https://www.airbnb.com/api/v2/pdp_listing_details/41969547?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,nan,1125,1,0.0,1,14,24,45.0,100%,within an hour,,nan,2,Shared room,nan,nan,,0.0,0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2020-01-01,Siltasaari
4,nan,1.0,1.0,0.0,nan,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,nan,Helsinki,11,nan,nan,0,42901953,0,1,0,https://www.airbnb.com/api/v2/pdp_listing_details/42901953?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,nan,1125,1,0.9,4,13,55,1.0,100%,within a few hours,,nan,1,Entire home/apt,nan,nan,,0.9,0,2173,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2018-05-01,Kamppi
5,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,0,CANCEL_FLEXIBLE,nan,Helsinki,0,nan,nan,0,21557494,0,0,1,https://www.airbnb.com/api/v2/pdp_listing_details/21557494?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,nan,7,1,0.0,1,6,49,1.0,100%,within a few hours,,nan,162,Private room,4.5-5.0/5.0,nan,,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2017-10-01,Linjat
6,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,2.0,1,CANCEL_MODERATE,nan,Helsinki,27,nan,nan,0,32799667,0,0,1,https://www.airbnb.com/api/v2/pdp_listing_details/32799667?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,nan,1125,1,0.0,4,21,64,1.0,100%,within an hour,,nan,138,Entire home/apt,4.5-5.0/5.0,nan,,0.0,33,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2018-09-01,Kluuvi
7,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.5,0.0,2.0,1,CANCEL_MODERATE,nan,Helsinki,16,nan,nan,0,18230458,0,0,1,https://www.airbnb.com/api/v2/pdp_listing_details/18230458?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,nan,1125,1,0.9,2,12,76,1.0,100%,within a few hours,,nan,76,Entire home/apt,4.5-5.0/5.0,nan,,0.95,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2012-06-01,Etu-Töölö
8,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,2.0,0,CANCEL_MODERATE,nan,Helsinki,11,nan,nan,0,25500683,0,0,1,https://www.airbnb.com/api/v2/pdp_listing_details/25500683?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,nan,1125,1,0.9,3,27,77,37.0,50-89%,within a few hours,,nan,93,Entire home/apt,4.5-5.0/5.0,nan,,0.93,33,217,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2018-05-01,Kamppi
9,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,1.0,1,CANCEL_MODERATE,nan,Helsinki,26,nan,nan,0,11468881,0,0,0,https://www.airbnb.com/api/v2/pdp_listing_details/11468881?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,nan,1124,1,0.0,2,9,75,1.0,50-89%,within an hour,,nan,503,Entire home/apt,3.6-4.4/5.0,nan,,0.9,0,217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2014-06-01,Ullanlinna
