name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity,summary,amenities,review_count,review_score,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,star_rating,satisfaction_guest,description,neighborhood_overview,notes,additional_house_rules,interaction,access,transit,response_rate,response_time
Cozy apartment in the center of Helsinki,https://www.airbnb.com/rooms/25500683,71.0,nightly,71.0,Entire condominium,1,,60.166,24.936,0.9,0.93,entire_home,3,"Newly renovated apartment in the city center. The location is fantastic, 500 meters from Stockmann & Esplanadi park and you have everything here that you need!","Elevator,Wifi,Kitchen,Dryer,Hair dryer,Iron,Shampoo,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Coffee maker,Cooking basics,Dishes and silverware,Dishwasher,Microwave,Refrigerator,Oven,Stove,Host greets you,Private entrance,Long term stays allowed,Bed linens,Carbon monoxide alarm,Smoke alarm",93,97,10,10,10,10,10,9,5.0,97,"Newly renovated apartment in the city center. The location is fantastic, 500 meters from Stockmann & Esplanadi park and you have everything here that you need!

The housing solution built 1907. Neighbors are kind and nice.

Buses, metro and trams are all in walking distance. 

Parking is always difficult when you come to center but there is few parking spots in Lönnrotinkatu (not free). If you don't find a spot I would recommend you to leave the car to Hietaniementori. Usually there is more space and it's very close.",The housing solution built 1907. Neighbors are kind and nice.,,"- Quiet by 23, no footwear indoors.
- Only pre-agreed people allowed to stay in appartment.",,,"Buses, metro and trams are all in walking distance. 

Parking is always difficult when you come to center but there is few parking spots in Lönnrotinkatu (not free). If you don't find a spot I would recommend you to leave the car to Hietaniementori. Usually there is more space and it's very close.",,
Cute apartment in the very heart of Helsinki,https://www.airbnb.com/rooms/32799667,63.0,nightly,63.0,Entire apartment,1,,60.17029,24.94813,0.0,0.0,entire_home,4,"A beautifull apartment in a very antique European fashion style. Located in the heart of Helsinki just at a 5 minute walk from the main railwail station. Around the Building there are many restaurants, grocery shops, cinemas, malls, and much more. From here it is easy to go anywhere at any time.","Elevator,Wifi,Kitchen,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Ethernet connection,Hot water,Room-darkening shades,Window guards,Paid parking off premises,Coffee maker,Cooking basics,Dishes and silverware,Microwave,Refrigerator,Lockbox,Private entrance,Long term stays allowed,Bed linens,Patio or balcony,Garden or backyard,Carbon monoxide alarm,Smoke alarm",137,97,10,10,10,10,10,10,5.0,97,"A beautifull apartment in a very antique European fashion style. Located in the heart of Helsinki just at a 5 minute walk from the main railwail station. Around the Building there are many restaurants, grocery shops, cinemas, malls, and much more. From here it is easy to go anywhere at any time.

From the airport direct train to the main railwail station from where you reach the apartment in 5 minutes. The main bus station is also located at 100 meters away as well as trams.

I will be available at any time and I if you have any questions I will be reachable.

Finnish National Theater is right in front of the building. Many night clubs, bars and restaurants around the area.

The best way to travel around the city is by tram. For less than 2 euros you will be able to travel for 1,5 hours by tram. If you are going to the suburbs then you might consider the train. Cruise ships to Tallin and Stockholm leave several times a day from two major harbors which you can reach from the apartment in 10 minutes.

Around the area you will find any place of interest you might be looking for. However please let me know if you are looking for a particular site/place/product and I’ll be more than glad to help you the best way I can.","Finnish National Theater is right in front of the building. Many night clubs, bars and restaurants around the area.",Around the area you will find any place of interest you might be looking for. However please let me know if you are looking for a particular site/place/product and I’ll be more than glad to help you the best way I can.,"There are some rules in the apartment, please read carefully the followings: 

1) please take your shoes off at all times while being indoors in the apartment.

2) in case you need an extra towel, pillow, etc. write me about it before taking it yourself from the closet. 

3) leave the apartment as clean as you found it.

4) the day you leave, leave the key on top of the table and shut the door.",I will be available at any time and I if you have any questions I will be reachable.,,"The best way to travel around the city is by tram. For less than 2 euros you will be able to travel for 1,5 hours by tram. If you are going to the suburbs then you might consider the train. Cruise ships to Tallin and Stockholm leave several times a day from two major harbors which you can reach from the apartment in 10 minutes.",,
Stylish Apartment near Helsinki Vantaa Airport,https://www.airbnb.com/rooms/35440127,39.0,nightly,39.0,Entire apartment,1,,60.32108,24.85522,0.0,0.0,entire_home,6,"Stylish Apartment at Kivistö near Helsinki Vantaa Airport for up to 6 persons 
+ 50 Mbps wifi internet connection
+ TV + Netflix  
+ Free street parking 
+ 15 mins driving between the apartment and Helsinki Vantaa airport.
+ Plenty of free parking slots on streets. Paid  parking garages next door. 
+ Kivistö Railway Station, supermarket, grocery store, restaurants, bars are within walking distance. 
+ Bus stop, football court, children playground next to the building.","Elevator,Wifi,Kitchen,Cable TV,Hair dryer,Iron,Shampoo,TV,Heating,Essentials,Laptop-friendly workspace,Hot water,Paid parking off premises,Paid parking on premises,Free street parking,Coffee maker,Cooking basics,Dishes and silverware,Dishwasher,Microwave,Refrigerator,Oven,Stove,Private entrance,Bed linens,Fire extinguisher,Carbon monoxide alarm,Smoke alarm",91,96,10,10,10,10,10,10,5.0,96,"Stylish Apartment at Kivistö near Helsinki Vantaa Airport for up to 6 persons 
+ 50 Mbps wifi internet connection
+ TV + Netflix  
+ Free street parking 
+ 15 mins driving between the apartment and Helsinki Vantaa airport.
+ Plenty of free parking slots on streets. Paid  parking garages next door. 
+ Kivistö Railway Station, supermarket, grocery store, restaurants, bars are within walking distance. 
+ Bus stop, football court, children playground next to the building.

The house's wifi will be available after 12th of June 2019.",,The house's wifi will be available after 12th of June 2019.,"- Quite hours between 10PM and 7AM daily. No party is allowed in the apartment. Failure in following the quite hour rule may lead to a police calling from the neighbors.
- No smoking in the building, in the apartment and in the balcony. Smoking indoor may activate the smoke detecting devices and the firearms/authorities may come, which will cost at least hundreds of euros and will be charged in the guests' payment.
- No shoes in the apartment please! (In Finland we do not wear shoes indoor)",,,,,
Central Apartment Helsinki Kallio,https://www.airbnb.com/rooms/42403312,47.0,nightly,47.0,Entire apartment,1,,60.1841,24.94869,0.85,0.85,entire_home,4,"Cosy, stylish and comfortable place in a 1 bedroom appartment, located in the city center of Helsinki 15 min walk from the central railway station or 5 min by metro and within walking distance of the main landmarks. 
Kallio is the cultural and artistic neighbourhood of Helsinki, a laid-back and spirited area with a noteworthy array of boutiques, cafes, restaurants, bars and more.","Wifi,Kitchen,Iron,Hangers,Essentials,Carbon monoxide alarm,Smoke alarm",3,93,10,10,10,10,10,10,4.5,93,"Cosy, stylish and comfortable place in a 1 bedroom appartment, located in the city center of Helsinki 15 min walk from the central railway station or 5 min by metro and within walking distance of the main landmarks. 
Kallio is the cultural and artistic neighbourhood of Helsinki, a laid-back and spirited area with a noteworthy array of boutiques, cafes, restaurants, bars and more.",,,,,,,,
"Cozy super central 60m2 family apartment, Netflix",https://www.airbnb.com/rooms/16501244,47.0,nightly,47.0,Entire condominium,1,,60.167,24.934,0.8,0.88,entire_home,7,"Spacious 60m2 one-bedroom apartment located in the heart of Helsinki. 100m from the Kamppi metro station and close to shops, restaurants, and bars. Pros: central and quiet (windows towards the courtyard), newly renovated bathroom, very functional with fast wifi, Netflix and many other amenities, responsive and friendly hosts :) Cons: some furniture and gadgets a bit old, but all functional
Update 13 Mar: we have taken extra steps to make the apartment as safe as possible from the coronavirus","Wifi,Kitchen,Dryer,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,High chair,Paid parking off premises,Coffee maker,Cooking basics,Dishes and silverware,Dishwasher,Microwave,Refrigerator,Oven,Stove,Host greets you,Luggage dropoff allowed,Long term stays allowed,Bed linens,Carbon monoxide alarm,Smoke alarm",327,96,10,10,9,10,10,10,5.0,96,"Spacious 60m2 one-bedroom apartment located in the heart of Helsinki. 100m from the Kamppi metro station and close to shops, restaurants, and bars. Pros: central and quiet (windows towards the courtyard), newly renovated bathroom, very functional with fast wifi, Netflix and many other amenities, responsive and friendly hosts :) Cons: some furniture and gadgets a bit old, but all functional
Update 13 Mar: we have taken extra steps to make the apartment as safe as possible from the coronavirus

We have an ecological theme for the apartment. In practice this means:
* organic soaps, shampoo, dishwashers, coffee, cooking oil etc. 
* renewable electricity
* cotton bags are available for when you go shopping
* recycling is encouraged and made easy

Kamppi is closest residential area to the city center, which means that the main sights, museums, shopping, restaurants and bars are within a walking distance.

The apartment is close to several bus and tram stops and only a few minutes walk from the metro and bus station at Kamppi. The Central Railway Station where the airport train arrives, is less than a kilometer away (a one minute metro ride). The West Harbour is just four stops away with the tram 7.

Update Tuesday 31 March. We hosts have been healthy, follow best practices to avoid infections and we have taken extra steps to make the apartment safe for guests like disinfecting all taps, doorknobs and light switches between guests, and making sure there is hand soap available.

We live in the same building and work close by, which makes it easy to arrange luggage storage if you arrive before check-in or leave late on check-out day.","Kamppi is closest residential area to the city center, which means that the main sights, museums, shopping, restaurants and bars are within a walking distance.","Update Tuesday 31 March. We hosts have been healthy, follow best practices to avoid infections and we have taken extra steps to make the apartment safe for guests like disinfecting all taps, doorknobs and light switches between guests, and making sure there is hand soap available.

We live in the same building and work close by, which makes it easy to arrange luggage storage if you arrive before check-in or leave late on check-out day.","For check-ins after 22:00, we charge an extra 5€ fee and the apartment key should be picked up at a kiosk at the Helsinki railway station, approximately 800 meters from the apartment.
 
The silence is at 22:00 and this has to respected because of others in the building. But why would you want to stay inside anyway, when everything is out from your doorstep. 

Please try to leave the apartment tidy as we don't charge a cleaning fee and have often a limited time to clean between guests. We will of course take care of things like vacuum cleaning and changing the bed clothing, but it is much appreciated if you leave the kitchen in the condition it was on your arrival and in general keep the apartment tidy.

Recycling is required by the housing company and we provide easy instructions on what rubbish to put into what bin.  

If you break a glass or something, please let us know. Mistakes happens and that's ok, we just want to know if there is something we should replace.",,,"The apartment is close to several bus and tram stops and only a few minutes walk from the metro and bus station at Kamppi. The Central Railway Station where the airport train arrives, is less than a kilometer away (a one minute metro ride). The West Harbour is just four stops away with the tram 7.",,
"Beautiful park view, quiet and tidy apartment!",https://www.airbnb.com/rooms/18230458,71.0,nightly,71.0,Entire apartment,1,,60.17771,24.92905,0.9,0.95,entire_home,2,"Studio apartment in excellent location.  Quiet neigbourhood, quiet apartment.
The area is tranquil and in a walking distance from the city center. Best connections, tram and city bikes just nearby. Finnair airport bus stop is only 100 meters away. Many services, restaurants, terraces and bars in the area. Free Wifi.","Elevator,Wifi,Kitchen,Hair dryer,Shampoo,TV,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Cooking basics,Dishes and silverware,Refrigerator,Oven,Stove,Private entrance,Smoke alarm",76,97,10,10,10,10,10,10,5.0,97,"Studio apartment in excellent location.  Quiet neigbourhood, quiet apartment.
The area is tranquil and in a walking distance from the city center. Best connections, tram and city bikes just nearby. Finnair airport bus stop is only 100 meters away. Many services, restaurants, terraces and bars in the area. Free Wifi.

Finnair airport bus stop only 100 meters.
Tram stop 150 meters.
Citycenter 1 km.

Unfortunately we are not able to store luggage before check in, or after check out.",,"Unfortunately we are not able to store luggage before check in, or after check out.","- No parties, no noise between 22.00.-08.00. as it is a house rule.",,,"Finnair airport bus stop only 100 meters.
Tram stop 150 meters.
Citycenter 1 km.",,
Compact home in Ullanlinna,https://www.airbnb.com/rooms/35680811,61.0,nightly,61.0,Entire apartment,1,,60.15764,24.95218,0.0,0.9,entire_home,4,". Lovely compact studio with high view 
. Kaivopuisto park is just a few steps away
. Locate in Embassy area in Ullanlinna
. Grocery store within 5min walking, open till 10pm
. Great for couples, small family, solo travellers and","Wifi,Hair dryer,Shampoo,Hangers,Heating,Essentials,Laptop-friendly workspace",69,83,9,9,8,9,10,9,4.0,83,". Lovely compact studio with high view 
. Kaivopuisto park is just a few steps away
. Locate in Embassy area in Ullanlinna
. Grocery store within 5min walking, open till 10pm
. Great for couples, small family, solo travellers and

. Comfy double bed and a small sofa
. Fully equipped kitchen
. The kitchen is quite compact so we don't recommend heavy cooking e.g with oil here)

Nearest tram 3 stop towards city center named Neitsytspolku that goes to the left, if you want to explore the Market Square and further Upenski Church just catch the opposite direction tram 3 that runs towards Olympia Terminal.",,,No shoes in the studio,,,"Nearest tram 3 stop towards city center named Neitsytspolku that goes to the left, if you want to explore the Market Square and further Upenski Church just catch the opposite direction tram 3 that runs towards Olympia Terminal.",,
Studio in the heart of Helsinki,https://www.airbnb.com/rooms/11468881,69.0,nightly,69.0,Entire apartment,1,,60.16,24.944,0.0,0.9,entire_home,2,"Peaceful studio in the most wanted area in Helsinki. Quiet house Near of everything.
Completely renovated. Lovely neighbourhood, lot of trendy shops, restaurants and bars in a walking distance.
Free WiFi
Cleaning fee covers fresh towels and bed linen provided.","Elevator,Wifi,Kitchen,Cable TV,Hair dryer,Washer,Hangers,Heating,Essentials,Paid parking off premises,Host greets you",503,94,10,10,9,10,10,9,4.5,94,"Peaceful studio in the most wanted area in Helsinki. Quiet house Near of everything.
Completely renovated. Lovely neighbourhood, lot of trendy shops, restaurants and bars in a walking distance.
Free WiFi
Cleaning fee covers fresh towels and bed linen provided.

Guests are kindly asked to tidy the apartment before check-out.",,Guests are kindly asked to tidy the apartment before check-out.,"No smoking, no shoes indoors, no noise after 10 pm, cleaning up before checking-out. For two adults and one small child max. On special request one small dog (under 8 Kg).",,,,,
Stylish down town studio with best connections,https://www.airbnb.com/rooms/42684617,41.0,nightly,41.0,Entire apartment,1,,60.1883,24.96263,0.85,0.9,entire_home,2,"The apartment is located in north-eastern down town of Helsinki (Sörnäinen ). Stairs/obstacles! Not for wheel-chairs! Many grocery stores and  bars, restaurants and other services within 100m. The flat  is a DIY style man cave, 32 m2, 5th floor, kitchen with a small table,  bathroom, entrance hall and salong (2-person sofa, large office table and a highbed (150 cm from the floor, and 140 cm from the ceiling:-)). The bed is very soft, size 140x200cm .","Wifi,Kitchen,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Ethernet connection,Hot water,Coffee maker,Cooking basics,Dishes and silverware,Dishwasher,Microwave,Refrigerator,Oven,Stove,Long term stays allowed,Bed linens",4,100,10,10,10,10,10,10,5.0,100,"The apartment is located in north-eastern down town of Helsinki (Sörnäinen ). Stairs/obstacles! Not for wheel-chairs! Many grocery stores and  bars, restaurants and other services within 100m. The flat  is a DIY style man cave, 32 m2, 5th floor, kitchen with a small table,  bathroom, entrance hall and salong (2-person sofa, large office table and a highbed (150 cm from the floor, and 140 cm from the ceiling:-)). The bed is very soft, size 140x200cm .

You can use the coffee, or tea machines and prepare your own breakfast. If something is missing, you can find it from the 24/7 open grocery store downstairs.

You can reach the place by Metro from eastern, central and western Helsinki/Espoo. Tens of bus lines from/to Northern city and city center  stops within 100 m. From the Helsinki-Vantaa Airport 1) by bus 615 or 617  (no changes) in front of the building in 30-40 mins, or 2) by the Airport train to central station (30 mins) and then by metro (15 mins) to Sörnäinen metro station.

I am living and working every day in this flat. When you want to rent it, I move to my girl friend's place, other side of the city :-) I will give you the keys and guidance personally, f2f. During your stay you can reach me 24/7 by phone/text.

The building is located between a large park and Hämeentie arterial.  You can watch the park from the salong window. It is lightened nicely when it is dark outside. Hämeentie is currently under heavy construction works but this only makes it more quite since car traffic there is very light. You cannot hear the traffic inside of the flat since there is one more building line between this house and the arterial.

Location is 2,5 km from the Central railway station, or from the Pasila railway station. 70 meters from Sörnäinen metro station, and from stops of tens of bus lines to city center and North/North-east Helsinki and Vantaa, including busses 615 and 617 to/from the Helsinki-Vantaa Airport. There are also usually free space for parking in front of the door (2€/h, Mon-Fri 09-21).

There are no key boxes, door codes etc., you should be able to open. I will give you personally the key that works for the street  and flat doors.

The main arterial Hämeentie behind the building is under a heavy construction work. For this reason the pedestrian and driving entrances from Hämeentie to Vilhonvuorenkuja may change day by day. Anyway, the big red mural of this building will guide your way to the correct block house.",The building is located between a large park and Hämeentie arterial.  You can watch the park from the salong window. It is lightened nicely when it is dark outside. Hämeentie is currently under heavy construction works but this only makes it more quite since car traffic there is very light. You cannot hear the traffic inside of the flat since there is one more building line between this house and the arterial.,"There are no key boxes, door codes etc., you should be able to open. I will give you personally the key that works for the street  and flat doors.

The main arterial Hämeentie behind the building is under a heavy construction work. For this reason the pedestrian and driving entrances from Hämeentie to Vilhonvuorenkuja may change day by day. Anyway, the big red mural of this building will guide your way to the correct block house.",This is a normal multi-storey block house. General silence from 22 to 7. Access only with one traditional key.,"I am living and working every day in this flat. When you want to rent it, I move to my girl friend's place, other side of the city :-) I will give you the keys and guidance personally, f2f. During your stay you can reach me 24/7 by phone/text.","You can reach the place by Metro from eastern, central and western Helsinki/Espoo. Tens of bus lines from/to Northern city and city center  stops within 100 m. From the Helsinki-Vantaa Airport 1) by bus 615 or 617  (no changes) in front of the building in 30-40 mins, or 2) by the Airport train to central station (30 mins) and then by metro (15 mins) to Sörnäinen metro station.","Location is 2,5 km from the Central railway station, or from the Pasila railway station. 70 meters from Sörnäinen metro station, and from stops of tens of bus lines to city center and North/North-east Helsinki and Vantaa, including busses 615 and 617 to/from the Helsinki-Vantaa Airport. There are also usually free space for parking in front of the door (2€/h, Mon-Fri 09-21).",,
"cozy one bedroom apartment 60m2+balcony, Netflix",https://www.airbnb.com/rooms/29096654,42.0,nightly,42.0,Entire apartment,1,,60.235,25.009,0.8,0.93,entire_home,2,"Apartment in Pihlajamäki, Helsinki with toilet and kitchen. Refrigerator, microwave, TV and kettle. The kitchen is equipped with a dining table and cooking utensils. The glazed balcony and parquet flooring add to the comfort of living. Rooms are furnished for up to one person. Convenience Store S-Market within easy walking distance. Good bus connections to the city center. The apartment is fully furnished and the kitchen is equipped with dishes, so you can enjoy breakfast and prepare dinner.","Free parking on premises,Wifi,Kitchen,Cable TV,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Free street parking,Cooking basics,Dishes and silverware,Dishwasher,Microwave,Refrigerator,Oven,Stove,Host greets you,Cleaning before checkout,Bed linens,Extra pillows and blankets,Patio or balcony,Fire extinguisher,Carbon monoxide alarm,Smoke alarm,First aid kit",98,96,10,10,9,10,9,9,5.0,96,"Apartment in Pihlajamäki, Helsinki with toilet and kitchen. Refrigerator, microwave, TV and kettle. The kitchen is equipped with a dining table and cooking utensils. The glazed balcony and parquet flooring add to the comfort of living. Rooms are furnished for up to one person. Convenience Store S-Market within easy walking distance. Good bus connections to the city center. The apartment is fully furnished and the kitchen is equipped with dishes, so you can enjoy breakfast and prepare dinner.

Toimitan avaimen vieraille henkilökohtaisesti heidän saapuessaan. Vieraiden  lähtiessä huoneiston avain jätetään asuntoon näkyvälle paikalle keittiöön.

naapurusto on rauhallinen.

bussipysäkki 200 metrin päässä asunnolta, josta liikennöi reitti:
- bussi nro. 71 helsingin päärautatie 
asemalle.
-bussi nro 70 Helsingin Kamppiin.


Taxi-pysäkki graniittitien puolella, taksi helsinki puh. 0100 0700",naapurusto on rauhallinen.,,Ulkokengillä liikkuminen asunnossa eteistä pidemmälle ei ole sallittua.,Toimitan avaimen vieraille henkilökohtaisesti heidän saapuessaan. Vieraiden  lähtiessä huoneiston avain jätetään asuntoon näkyvälle paikalle keittiöön.,,"bussipysäkki 200 metrin päässä asunnolta, josta liikennöi reitti:
- bussi nro. 71 helsingin päärautatie 
asemalle.
-bussi nro 70 Helsingin Kamppiin.


Taxi-pysäkki graniittitien puolella, taksi helsinki puh. 0100 0700",,
