,id,reviews_scores_accuracy,allows_children,allows_infants,allows_pets,reviews_scores_avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,reviews_scores_checkin,city,cleaning_fee,reviews_scores_cleanliness,reviews_scores_communication,host_verified,is_business_travel_ready,is_new_listing,is_super_host,kicker_content_message,latitude,localized_city,reviews_scores_location,longitude,max_nights,min_nights,monthly_price_factor,name,person_capacity,picture_count,price_string,property_type_id,response_rate,response_time,review_count,reviews_scores_rating,reviews_count,room_and_property_type,room_type,room_type_category,space_type,reviews_scores_star,reviews_scores_value,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,paikkakunnat,NIMI
0,22858494,nan,1.0,1.0,0.0,4.5-5.0/5.0,0.5,0.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,nan,Helsinki,0,nan,nan,0,0,0,0,Entire apartment,60.16708000000001,Helsingfors,nan,24.93492,1125,1,0.0,SPACIOUS AND SIMPLE IN THE HEART OF HELSINKI 26m2,2,17,38,1.0,100%,within an hour,,nan,365,Entire apartment,Entire home/apt,entire_home,Entire apartment,3.6-4.4/5.0,,,0.9,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Kamppi,Kamppi
1,16501244,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,3.0,0,CANCEL_MODERATE,nan,Helsinki,0,nan,nan,0,0,0,1,Entire condominium,60.16653,Helsinki,nan,24.93362,60,1,0.8,"Cozy super central 60m2 family apartment, Netflix",7,22,58,37.0,100%,within an hour,,nan,327,Entire condominium,Entire home/apt,entire_home,Entire condominium,4.5-5.0/5.0,,,0.88,8,217,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,Kamppi,Kamppi
2,28982354,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,nan,Helsinki,0,nan,nan,0,0,0,1,Shared room,60.15867,Helsinki,nan,24.94423,6,1,0.0,Shared apartment near the city center and the sea,3,3,26,1.0,50-89%,within an hour,,nan,115,Shared room in apartment,Shared room,shared_room,Shared room,4.5-5.0/5.0,,,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Siltasaari,Siltasaari
3,41969547,nan,1.0,1.0,0.0,nan,4.0,1.0,1.0,1,CANCEL_FLEXIBLE,nan,Helsinki,0,nan,nan,0,0,1,0,Hostel beds,60.17884,Helsinki,nan,24.95787,1125,1,0.0,№11· Hostel INNTOURIST in the CENTER of Helsinki,1,14,24,45.0,100%,within an hour,,nan,2,Shared room in hostel,Shared room,shared_room,Hostel beds,nan,,,0.0,0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Kamppi,Kamppi
4,42901953,nan,1.0,1.0,0.0,nan,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,nan,Helsinki,11,nan,nan,0,0,1,0,Entire apartment,60.16563000000001,Helsingfors,nan,24.92996,1125,1,0.9,Beautiful apartment in the Centre Helsinki.,4,13,55,1.0,100%,within a few hours,,nan,1,Entire apartment,Entire home/apt,entire_home,Entire apartment,nan,,,0.9,0,2173,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,Linjat,Linjat
5,21557494,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,0,CANCEL_FLEXIBLE,nan,Helsinki,0,nan,nan,0,0,0,1,Private room,60.18126,Helsingfors,nan,24.95034,7,1,0.0,A room with a view,1,6,49,1.0,100%,within a few hours,,nan,162,Private room in apartment,Private room,private_room,Private room,4.5-5.0/5.0,,,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kluuvi,Kluuvi
6,32799667,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,2.0,1,CANCEL_MODERATE,nan,Helsinki,27,nan,nan,0,0,0,1,Entire apartment,60.17029,Helsingfors,nan,24.94813,1125,1,0.0,Cute apartment in the very heart of Helsinki,4,21,64,1.0,100%,within an hour,,nan,138,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5-5.0/5.0,,,0.0,33,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,Etu-Töölö,Etu-Töölö
7,18230458,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.5,0.0,2.0,1,CANCEL_MODERATE,nan,Helsinki,16,nan,nan,0,0,0,1,Entire apartment,60.17771,Helsingfors,nan,24.92905,1125,1,0.9,"Beautiful park view, quiet and tidy apartment!",2,12,76,1.0,100%,within a few hours,,nan,76,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5-5.0/5.0,,,0.95,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Kamppi,Kamppi
8,25500683,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,2.0,0,CANCEL_MODERATE,nan,Helsinki,11,nan,nan,0,0,0,1,Entire condominium,60.16552,Helsinki,nan,24.93575,1125,1,0.9,Cozy apartment in the center of Helsinki,3,27,77,37.0,90-99%,within a few hours,,nan,93,Entire condominium,Entire home/apt,entire_home,Entire condominium,4.5-5.0/5.0,,,0.93,33,217,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Ullanlinna,Ullanlinna
9,11468881,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,1.0,1,CANCEL_MODERATE,nan,Helsinki,26,nan,nan,0,0,0,0,Entire apartment,60.16025,Helsinki,nan,24.94361,1124,1,0.0,Studio in the heart of Helsinki,2,9,75,1.0,100%,within an hour,,nan,503,Entire apartment,Entire home/apt,entire_home,Entire apartment,3.6-4.4/5.0,,,0.9,0,217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Linjat,Linjat
10,42403312,nan,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,1.0,1,CANCEL_FLEXIBLE,nan,Helsinki,0,nan,nan,0,0,0,0,Entire apartment,60.1841,Helsinki,nan,24.94869,180,1,0.85,Central Apartment Helsinki Kallio,4,5,52,1.0,100%,within an hour,,nan,3,Entire apartment,Entire home/apt,entire_home,Entire apartment,3.6-4.4/5.0,,,0.85,16,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kumpula,Kumpula
