,id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,borough,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,host_days_active,check_in_24h,air_conditioning,balcony,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,pets_allowed,private_entrance,self_check_in,time_since_first_review,time_since_last_review
0,68951,within a few hours,100%,1,1,1,Bolton District,House,Entire home/apt,4,1.0,2.0,6.0,65,150,25,4,10,2,180,0,82,95-100/100,10/10,9/10,10/10,10/10,9/10,9/10,0,strict_14_with_grace_period,3011.0,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4+ years,200.0
1,85109,within an hour,100%,1,4,1,City Centre,Apartment,Private room,2,1.5,1.0,1.0,60,0,0,2,0,2,14,88,434,95-100/100,10/10,10/10,10/10,10/10,10/10,9/10,0,strict_14_with_grace_period,2935.0,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4+ years,35.0
2,157612,within a few hours,50-89%,1,3,0,Salford District,Apartment,Entire home/apt,3,1.0,2.0,2.0,34,150,20,1,14,2,365,47,96,95-100/100,10/10,10/10,10/10,10/10,9/10,10/10,0,moderate,2841.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4+ years,134.0
3,159189,unknown,unknown,0,1,0,Rochdale District,House,Shared room,2,1.0,1.0,2.0,55,100,0,1,30,1,3,90,0,,,,,,,,0,flexible,2840.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
4,283495,within a few hours,100%,0,1,0,Rochdale District,House,Private room,2,1.0,1.0,1.0,60,0,0,1,0,3,1125,0,10,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,2681.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4+ years,624.0
5,299194,within an hour,100%,0,1,0,Stockport District,House,Entire home/apt,4,1.5,1.0,1.0,50,0,10,1,15,2,180,83,254,80-94/100,9/10,9/10,9/10,10/10,9/10,9/10,1,flexible,2659.0,,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4+ years,64.0
6,310742,unknown,unknown,0,1,1,Ancoats and Clayton,Apartment,Private room,1,1.0,1.0,1.0,37,150,0,1,0,180,365,0,64,80-94/100,9/10,9/10,10/10,10/10,10/10,9/10,1,flexible,2643.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,829.0
7,332580,within an hour,100%,1,8,1,City Centre,Apartment,Private room,2,1.0,1.0,1.0,48,0,6,2,16,2,1125,0,322,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,moderate,2622.0,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4+ years,146.0
8,360142,within an hour,100%,0,3,1,Moss Side,House,Private room,2,2.0,1.0,1.0,32,100,20,1,15,3,730,67,46,80-94/100,9/10,0-8/10,10/10,10/10,9/10,9/10,0,strict_14_with_grace_period,2598.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,172.0
9,363327,within a few hours,100%,0,5,1,Moss Side,House,Private room,1,1.0,1.0,1.0,20,120,0,1,0,7,365,83,27,80-94/100,9/10,0-8/10,9/10,10/10,0-8/10,0-8/10,0,strict_14_with_grace_period,2653.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4+ years,42.0
