accuracy_rating,allows_infants,allows_pets,avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,checkin_rating,city,cleaning_fee,cleanliness_rating,communication_rating,host_verified,is_new_listing,is_super_host,latitude,location_rating,longitude,max_nights,min_nights,monthly_price_factor,neighborhood,person_capacity,picture_count,price_string,review_score,reviews_count,room_type,space_type,value_rating,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,geometry
0.0,,False,4.67,0.5,0.0,1.0,True,CANCEL_STRICT_14_WITH_GRACE_PERIOD,nan,Helsingfors,0,nan,nan,False,False,False,60.16708000000001,nan,24.93492,1125,1,0.0,Kamppi,2,17,38,nan,365,Entire home/apt,Entire apartment,nan,0.0,0.9,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,POINT (60.16708000000001 24.93492)
0.0,,False,4.81,1.5,1.0,3.0,False,CANCEL_MODERATE,nan,Helsinki,0,nan,nan,False,False,True,60.16653,nan,24.93362,60,1,0.8,Kamppi,7,22,58,nan,327,Entire home/apt,Entire condominium,nan,0.0,0.88,8,217,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,POINT (60.16653 24.93362)
0.0,,False,4.79,1.0,1.0,1.0,True,CANCEL_STRICT_14_WITH_GRACE_PERIOD,nan,Helsinki,0,nan,nan,False,False,True,60.15867,nan,24.94423,6,1,0.0,Ullanlinna,3,3,26,nan,115,Shared room,Shared room,nan,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,POINT (60.15867 24.94423)
0.0,,False,0.0,4.0,1.0,1.0,True,CANCEL_FLEXIBLE,nan,Helsinki,0,nan,nan,False,True,False,60.17884,nan,24.95787,1125,1,0.0,Kruununhaka,1,14,24,nan,2,Shared room,Hostel beds,nan,0.0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,POINT (60.17884 24.95787)
0.0,,False,0.0,1.0,1.0,2.0,True,CANCEL_FLEXIBLE,nan,Helsingfors,11,nan,nan,False,True,False,60.16563000000001,nan,24.92996,1125,1,0.9,Kamppi,4,13,55,nan,1,Entire home/apt,Entire apartment,nan,0.0,0.9,0,2173,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,POINT (60.16563000000001 24.92996)
0.0,,False,4.91,1.0,1.0,1.0,False,CANCEL_FLEXIBLE,nan,Helsingfors,0,nan,nan,False,False,True,60.18126,nan,24.95034,7,1,0.0,Kruununhaka,1,6,49,nan,162,Private room,Private room,nan,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,POINT (60.18126 24.95034)
0.0,,False,4.84,1.0,0.0,2.0,True,CANCEL_MODERATE,nan,Helsingfors,27,nan,nan,False,False,True,60.17029,nan,24.94813,1125,1,0.0,Kluuvi,4,21,64,nan,138,Entire home/apt,Entire apartment,nan,0.0,0.0,33,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,POINT (60.17029 24.94813)
0.0,,False,4.87,1.5,0.0,2.0,True,CANCEL_MODERATE,nan,Helsingfors,16,nan,nan,False,False,True,60.17771,nan,24.92905,1125,1,0.9,Etu-Töölö,2,12,76,nan,76,Entire home/apt,Entire apartment,nan,0.0,0.95,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,POINT (60.17771 24.92905)
0.0,,False,4.84,1.0,0.0,2.0,False,CANCEL_MODERATE,nan,Helsinki,11,nan,nan,False,False,True,60.16552,nan,24.93575,1125,1,0.9,Kamppi,3,27,77,nan,93,Entire home/apt,Entire condominium,nan,0.0,0.93,33,217,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,POINT (60.16552 24.93575)
0.0,,False,4.72,1.0,0.0,1.0,True,CANCEL_MODERATE,nan,Helsinki,26,nan,nan,False,False,False,60.16025,nan,24.94361,1124,1,0.0,Ullanlinna,2,9,75,nan,503,Entire home/apt,Entire apartment,nan,0.0,0.9,0,217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,POINT (60.16025 24.94361)
