name,url,price_rate,price_rate_type,total_price,room_and_property_type,location_title,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity,summary,amenities,review_count,review_score,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,star_rating,satisfaction_guest,description,neighborhood_overview,notes,additional_house_rules,interaction,access,transit,response_rate,response_time,instant_book_possible
Happy Hippie,https://www.airbnb.com/rooms/38288110,2464.0,monthly,12763.0,Entire apartment,"Helsinki, Finland",2,,60.20451,25.12546,0.95,0.98,entire_home,2,"The place is next to the sea, One of the best place in Helsinki.","Free parking on premises,Elevator,Wifi,Kitchen,Air conditioning,Dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Bed linens,Extra pillows and blankets,Lake access,Waterfront,Smoke alarm,First aid kit",0,,,,,,,,,,"The place is next to the sea, One of the best place in Helsinki.

its 5 min to metro station and 1 min to the bus station. the place is spacy",,,21-06,,,,,,
Punavouri top-floor designer apartment + terrace,https://www.airbnb.com/rooms/18820567,5834.0,monthly,30220.0,Entire apartment,"Helsinki, Finland",2,,60.159,24.938,0.85,0.95,entire_home,2,"This 40m2 top-floor apartment in Punavouri with 10m2 private terrace is spectacular! The apartment is furnished and accessorized with Scandinavian and Italian designers – by Lassen, Hay, Muuto, normann, Cassina, Pianca, Tom Dixon, Iittala. Honour bar available. Please be mindlful -- it is my home, not just a high-turnover Airbnb. I choose my guests carefully.","Elevator,Wifi,Kitchen,Breakfast,Dryer,Hair dryer,Iron,Shampoo,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Coffee maker,Cooking basics,Dishes and silverware,Dishwasher,Microwave,Refrigerator,Oven,Stove,Lockbox,Bed linens,Shower gel,Patio or balcony",21,99,10,10,10,10,10,9,5.0,99,"This 40m2 top-floor apartment in Punavouri with 10m2 private terrace is spectacular! The apartment is furnished and accessorized with Scandinavian and Italian designers – by Lassen, Hay, Muuto, normann, Cassina, Pianca, Tom Dixon, Iittala. Honour bar available. Please be mindlful -- it is my home, not just a high-turnover Airbnb. I choose my guests carefully.

The apartment has a great room – kitchen, living room, dining room. A separate bedroom is closed off with sliding doors. Kitchen is fully equipped. Nespresso machine. Barbecue on the terrace. Bathroom has separate washer and dryer. Shower and plenty of towels. I provide an honor bar with wine and spirits.

You will interact directly with me, however, I will not do a personal check-in, rather you can check yourself in. I will explain more after you have booked.

This suburb is dubbed ‘the design district’ of Helsinki as it’s where you’ll find all the cool little boutiquey stores offering both the big and the small names in Finnish, Nordic and continental design. Up for some shopping? You'll find kitchen and homewares, artworks or nick-nacks, vintage or cleverly designed recycled clothing.","This suburb is dubbed ‘the design district’ of Helsinki as it’s where you’ll find all the cool little boutiquey stores offering both the big and the small names in Finnish, Nordic and continental design. Up for some shopping? You'll find kitchen and homewares, artworks or nick-nacks, vintage or cleverly designed recycled clothing.",,,"You will interact directly with me, however, I will not do a personal check-in, rather you can check yourself in. I will explain more after you have booked.",,,,,
So Central 1br apartment,https://www.airbnb.com/rooms/40728114,3878.0,monthly,20341.0,Entire apartment,"Helsingfors, Finland",2,,60.166,24.935,0.0,0.0,entire_home,4,"- Great Location in heart of Helsinki 
- Accommodates max 4 persons in 1 bedroom and a living room
- Comfortable beds with firm pillows and warm blankets
- Professionally cleaned before every guests with freshly washed linen and soft towels
- You are warmly welcome! - Just ask anything and We will arrange it!","Elevator,Wifi,Kitchen,Hair dryer,Iron,Shampoo,TV,Hangers,Heating,Essentials,Laptop-friendly workspace,Crib,High chair,Pack ’n Play/travel crib,Single level home,Coffee maker,Cooking basics,Dishes and silverware,Dishwasher,Microwave,Refrigerator,Oven,Stove,Bed linens,Fire extinguisher,Carbon monoxide alarm,Smoke alarm,First aid kit",3,93,9,10,10,10,10,9,4.5,93,"- Great Location in heart of Helsinki 
- Accommodates max 4 persons in 1 bedroom and a living room
- Comfortable beds with firm pillows and warm blankets
- Professionally cleaned before every guests with freshly washed linen and soft towels
- You are warmly welcome! - Just ask anything and We will arrange it!

Welcome home! All Roost apartments are true Nordic homes. That means they are designed, decorated and furnished to meet our high Finnish standards of living.

Our Roost team will help you live like a local. As our friend, we'll always direct you to the best travel experiences that only true locals would appreciate.",,,,"Our Roost team will help you live like a local. As our friend, we'll always direct you to the best travel experiences that only true locals would appreciate.",,,,,
KIVI 1  New LOFT Apartment  7min Helsinki AirPort,https://www.airbnb.com/rooms/27150154,2193.0,monthly,10926.0,Entire loft,"Vantaa, Finland",2,,60.31425,24.8447,0.8,0.95,entire_home,5,"SUPERB NEW LOFT APARTMENT
All services and trainstop withing  150m","Elevator,Wifi,Kitchen,Air conditioning,Dryer,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Pocket wifi,Children’s books and toys,High chair,Outlet covers,Pack ’n Play/travel crib,Room-darkening shades,Table corner guards,Paid parking on premises,Free street parking,Coffee maker,Cooking basics,Dishes and silverware,Dishwasher,Microwave,Refrigerator,Oven,Stove,Private entrance,Smart lock,Luggage dropoff allowed,Long term stays allowed,Bed linens,Extra pillows and blankets,BBQ grill,Patio or balcony,Fire extinguisher,Carbon monoxide alarm,Smoke alarm,First aid kit",4,100,10,10,10,10,10,10,5.0,100,"SUPERB NEW LOFT APARTMENT
All services and trainstop withing  150m

New total furnitured

LOFT Apartment your Private use

New area, services withing 300m
Train 150m

Trainstop KIVISTÖ 150m 7 min to airport 27 min to city center Helsinki and 15 min to Tikkurila center

Not for party,  No Smoking at Apartment and Not smoking at Balcony","New area, services withing 300m
Train 150m","Not for party,  No Smoking at Apartment and Not smoking at Balcony",,,LOFT Apartment your Private use,Trainstop KIVISTÖ 150m 7 min to airport 27 min to city center Helsinki and 15 min to Tikkurila center,,,
"Top Floor Studio w Separate Bedroom, Hki, Centre",https://www.airbnb.com/rooms/41613370,2994.0,monthly,14920.0,Entire apartment,"Helsingfors, Finland",3,,60.17493,24.91834,0.9,0.93,entire_home,3,"A modern studio with a separate bedroom in perfect location in the lovely Töölö district.

This delightful 6th floor apartment is perfectly located in lively Töölö area which is full of great bars, restaurants and cultural sights. Bus and tram stop are next to the block. Kamppi shopping centre as well as the nearest metro station is only 900 metres away.

The flat is ideal for two persons, even though accommodation of three traveller is possible by using sofa.","Wifi,Kitchen,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Private entrance,Smoke alarm",4,95,10,10,9,10,10,10,5.0,95,"A modern studio with a separate bedroom in perfect location in the lovely Töölö district.

This delightful 6th floor apartment is perfectly located in lively Töölö area which is full of great bars, restaurants and cultural sights. Bus and tram stop are next to the block. Kamppi shopping centre as well as the nearest metro station is only 900 metres away.

The flat is ideal for two persons, even though accommodation of three traveller is possible by using sofa.

I will be helping guests when ever they need it!

The apartment is located in an idyllic and quiet inner courtyard so you are not disturbed by the traffic.  The sea, many parks and the city's  largest beach are just in a walking distance.

The architect of the building is world know Lars Sonck and the architectural style is ""Nordic classisism"".

The whole Töölö district is highly valued neighbourhood with lots of tourist attractions (Temppeliaukio church, Opera, Sibelius monument, Olympic stadium etc).

There is a bus/tram stop next to the block. 

The nearest metro station (Kamppi) is only 900 metres away.","The apartment is located in an idyllic and quiet inner courtyard so you are not disturbed by the traffic.  The sea, many parks and the city's  largest beach are just in a walking distance.

The architect of the building is world know Lars Sonck and the architectural style is ""Nordic classisism"".

The whole Töölö district is highly valued neighbourhood with lots of tourist attractions (Temppeliaukio church, Opera, Sibelius monument, Olympic stadium etc).",,Please take off your outdoor shoes,I will be helping guests when ever they need it!,,"There is a bus/tram stop next to the block. 

The nearest metro station (Kamppi) is only 900 metres away.",,,
Very stylish apartment ( entire apartment ),https://www.airbnb.com/rooms/20427838,17258.0,monthly,91099.0,Entire apartment,"Helsinki, Finland",1,,60.23738,25.08904,0.0,0.0,entire_home,3,Welcome! I'm offering up an apartment in Helsinki. Very comfortable modern and stylish apartment with internet Wi-Fi and closet space. Beautiful area. Nice places to visit nearby. Close to the biggest shopping center in Finland (Itis). Close to metro station (250 M). Very close to bus stations. Lots of Markets & restaurants nearby! (4 Min).,,0,,,,,,,,,,Welcome! I'm offering up an apartment in Helsinki. Very comfortable modern and stylish apartment with internet Wi-Fi and closet space. Beautiful area. Nice places to visit nearby. Close to the biggest shopping center in Finland (Itis). Close to metro station (250 M). Very close to bus stations. Lots of Markets & restaurants nearby! (4 Min).,,,,,,,,,
A place you will love to be,https://www.airbnb.com/rooms/16850489,11905.0,monthly,62842.0,Entire apartment,"Espoo, Uusima, Finland",1,,60.17069,24.72426,0.0,0.0,entire_home,6,Very close to many stores around and we having big shopping mall ISO Omena,,1,40,4,4,4,6,4,2,,40,Very close to many stores around and we having big shopping mall ISO Omena,,,,,,,,,
LUXURY 5 BEDROOM PRIVATE HOUSE,https://www.airbnb.com/rooms/34531719,17031.0,monthly,89898.0,Entire house,"Järvenpää, Finland",2,,60.48925,25.122,0.0,0.0,entire_home,16,"5 bedrooms, living room, kitchen, dining room, 3 bathrooms, sauna, fireplace room, 2 balcony, huge private garden, garage.","Free parking on premises,Wifi,Kitchen,Indoor fireplace,Dryer,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Private entrance,Carbon monoxide alarm,Smoke alarm,First aid kit",0,,,,,,,,,,"5 bedrooms, living room, kitchen, dining room, 3 bathrooms, sauna, fireplace room, 2 balcony, huge private garden, garage.",,,,,,,,,
"Villa in Pickala, 1-15 persons",https://www.airbnb.com/rooms/22976869,16568.0,monthly,87455.0,Entire house,"Siuntio, Finland",6,,60.07108,24.2984,0.0,0.0,entire_home,15,"Amazing 220m2 villa with excellent view to the sea. The villa is located right next to the largest Golf-club in the Nordics with three 18-hole courses.

The facilities are suitable for even larger group of people. The accommodation includes own private dock and small beach.

The area of Pickala, Siuntio is known for its variety of outdoor activities!

Welcome to enjoy your stay in Pickala!","Free parking on premises,Wifi,Kitchen,Indoor fireplace,Air conditioning,Dryer,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Fire extinguisher,Carbon monoxide alarm,Smoke alarm,First aid kit",0,,,,,,,,,,"Amazing 220m2 villa with excellent view to the sea. The villa is located right next to the largest Golf-club in the Nordics with three 18-hole courses.

The facilities are suitable for even larger group of people. The accommodation includes own private dock and small beach.

The area of Pickala, Siuntio is known for its variety of outdoor activities!

Welcome to enjoy your stay in Pickala!",,,,,,,,,
Loistava asunto.,https://www.airbnb.com/rooms/11875093,82838.0,monthly,437273.0,Entire townhouse,"Espoo, Finland",1,,60.20099,24.67154,0.0,0.0,entire_home,5,"Tilava asunto,hyvien kulkuyhteyksien varrella.","Free parking on premises,Gym,Wifi,Kitchen,Air conditioning,Cable TV,TV,Washer,Heating,Essentials,Laptop-friendly workspace,Fire extinguisher,Smoke alarm,First aid kit",0,,,,,,,,,,"Tilava asunto,hyvien kulkuyhteyksien varrella.",,,Asunnon sisällä tupakointi kielletty.,,,,,,
